Weight,Leaf Count,Leaf Area Covered
53.8,19,379
51.6,34,227
102.4,34,445
97.7,39,352
108.8,42,349
99.4,43,320
76.7,35,349
80.6,31,356
106,43,358
106.8,42,366
101.4,28,465
51.3,21,365
53.1,21,358
53.3,26,279
53.2,20,370
56.4,19,499
48.3,33,215
47.2,24,305
58.1,38,245
47.2,28,260
120.8,27,649
121.2,35,499
116.7,31,562
117,39,444
122.4,38,480
119.4,43,401
124.3,42,412
128.3,31,536
66,18,502
65.9,24,427
67.6,26,381
62.3,23,350
75.4,20,467
65.6,20,400
67.2,27,387
70,28,353
66.8,30,330
122.2,27,590
127.7,30,552
121.1,31,456
134.5,50,400
126.5,36,455
138.6,48,385
122,38,385
108.6,31,463
84.8,26,387
58,21,338
65.2,23,423
69.5,26,449
65.6,33,312
73.5,25,403
54.5,28,280
55.6,23,368
100.5,30,370
102.6,30,424
101.4,35,326
116.4,22,493
108.3,33,386
104.4,28,350
50.3,22,269
49.9,21,300
51.9,30,208
44.3,19,311
42.8,20,256
52,25,277
136,39,363
127.3,30,517
118.1,23,514
140.4,36,438
99.5,29,376
141.5,37,394
74,24,419
72.9,24,342
76.6,20,458
77.9,25,372
78.6,28,352
76.2,27,346
118.5,30.125,368
110.6,30,458
101.8,32,440
74.1,32,329
98.7,28,497
105.4,31,465
93.7,29,420
113.1,30,522
92,29,456
75.2,25,440
75.2,29,325
61.2,24,397
73.8,30,335
70.9,37,265
68.2,24,436
72.7,33,326
61.7,28,319
62.6,25,340
118.3,28,457
119.5,27,513
110.6,25,451
110.2,27,477
74.5,28,364
85.6,26,340
123.3,49,290
134.1,41,407
117.5,35,385
112.6,32,398
117.2,30,495
111,28,438
110.3,35,411
113.9,26,475
115.3,27,526
99.3,27,479
57,33,262
55.4,26,347
60.8,31,286
59,22,430
57.2,24,324
62.4,32,282
61.1,24,398
56.4,23,336
61.3,30,299
108.2,25,684
93,27,418
110.5,32,604
109.4,32,548
99.9,32,501
111.1,31,435
110.7,31,498
89.1,32,387
87.6,34,391
69.8,27,376
73.4,30,363
70.8,21,442
59.9,25,393
67.6,23,450
74.4,20,586
69.2,34,303
72.7,24,440
58.9,27,344
96.8,35,393
102,34,423
79.1,29,403
85.3,30,418
94.3,23,609
98.6,25,609
97.8,30,460
93.7,44,320
93.1,29,556
53.3,27,297
46.2,22,309
48.7,23,286
37.5,16,357
62.9,31,332
48.1,24,320
52.6,39,224
72.3,27,322
78.9,20,422
76.1,21,443
74.3,26,356
70.2,24,363
73.9,26,394
103.6,34,428
119,31,569
123.4,34,453
116.3,38,378
120.8,37,414
88.5,33,316
120.9,37,415
92.8,28,325
124.1,37,402
64.4,23,419
72,27,378
75.1,25,404
71.3,22,395
69.6,22,374
69.9,22,381
77,28,336
74.7,27,341
70.1,20,470
115.3,33,508
106.4,36,466
110.5,38,431
108.3,34,467
117.2,32,584
99.2,37,409
74.4,21,471
92,29,469
107.4,50,324
67.1,29,352
66.4,29,337
64.8,25,353
70.1,27,359
62.3,30,315
65.2,24,413
64.3,21,402
67.6,27,413
59.7,19,418
90.5,28,458
91.7,23,512
91,35,347
75.9,25,444
93,32,379
95.3,32,408
85.5,25,530
89.5,30,429
103.1,35,445
52.6,25,363
119.2,32,430
60.3,14,501
65.3,17,398
56.6,30,211
62.8,28,295
56.9,25,236
59.6,19,336
63.2,23,339
69,26,267
65.9,28,243
108.8,33,430
72.5,25,381
121.4,35,442
112.8,25,531
110.9,41,388
89.6,24,465
67.3,26,342
113.9,33,364
84.9,26,456
55.6,20,310
56.7,15,502
56.7,26,255
57,24,332
55.8,20,359
57.3,19,335
61.2,23,326
120.9,25,629
125.8,31,632
106.2,25,519
80.2,23,520
97.5,31,459
65.1,32,295
55.2,18,510
62.9,23,350
64.1,27,341
59.1,20,481
67,23,448
65.1,20,464
68,26,383
63,22,436
143.7,34,398
132.2,31,494
127.2,26,500
137.9,33,523
130.7,31,440
123.8,38,458
143.9,30,481
93.5,35,280
122.2,32,458
68.8,21,453
71.7,28,401
73.1,30,309
59.2,20,414
55.8,26,322
49.3,21,316
48.5,22,326
45.3,16,403
46.5,17,446
49.2,23,305
46.8,22,382
127.3,36,435
113.4,25,566
109.6,28,437
125.8,32,507
131.1,45,365
112.2,33,414
131.3,45,381
120.1,37,401
123.6,31,501
59,26,329
65.2,23,366
71.2,25,353
72.9,29,296
76.4,29,379
77.2,25,311
71.9,30,300
73.1,31,283
72,25,406
70.9,19,456
74.6,24,503
77.8,25,454
70.7,21,441
88.2,31,420
107.9,34,477
78.4,29,438
95,36,439
101.3,27,541
77,31,383
73.8,29,389
120.1,34,534
120.5,34,541
74.7,29,394
73.1,30,397
54.7,26,465
70.4,27,448
69.2,24,474
70.3,22,543
74,27,452
76.4,28,441
72.1,21,453
123.8,34,424
126.6,42,424
126.2,29,639
62,20,447
53.8,19,379
51.6,34,227
102.4,34,445
97.7,39,352
108.8,42,349
99.4,43,320
76.7,35,349
80.6,31,356
106,43,358
106.8,42,366
101.4,28,465
51.3,21,365
53.1,21,358
53.3,26,279
53.2,20,370
56.4,19,499
48.3,33,215
47.2,24,305
58.1,38,245
47.2,28,260
120.8,27,649
121.2,35,499
116.7,31,562
117,39,444
122.4,38,480
119.4,43,401
124.3,42,412
128.3,31,536
66,18,502
65.9,24,427
67.6,26,381
62.3,23,350
75.4,20,467
65.6,20,400
67.2,27,387
70,28,353
66.8,30,330
122.2,27,590
127.7,30,552
121.1,31,456
134.5,50,400
126.5,36,455
138.6,48,385
122,38,385
108.6,31,463
84.8,26,387
58,21,338
65.2,23,423
69.5,26,449
65.6,33,312
73.5,25,403
54.5,28,280
55.6,23,368
100.5,30,370
102.6,30,424
101.4,35,326
116.4,22,493
108.3,33,386
104.4,28,350
50.3,22,269
49.9,21,300
51.9,30,208
44.3,19,311
42.8,20,256
52,25,277
136,39,363
127.3,30,517
118.1,23,514
140.4,36,438
