Name,Weight (g),,length (cm),,,,,,,,,,,,,,,,
070723_173_1,0.032,,,,,,,,,,,,,,,,,,
070723_173_2,0.0291,,,,,,,,,,,,,,,,,,
070723_173_3,0.0215,,,,,,,,,,,,,,,,,,
070723_173_4,0.0306,,,,,,,,,,,,,,,,,,
070723_173_5,0.022,,,,,,,,,,,,,,,,,,
070723_171_1,0.0278,,,,,,,,,,,,,,,,,,
070723_171_2,0.0225,,,,,,,,,,,,,,,,,,
070723_171_3,0.0166,,,,,,,,,,,,,,,,,,
070723_171_4,0.0246,,,,,,,,,,,,,,,,,,
070723_171_5,0.0234,,,,,,,,,,,,,,,,,,
070723_169_1,0.0088,,,,,,,,,,,,,,,,,,
070723_169_2,0.0055,,,,,,,,,,,,,,,,,,
070723_169_3,0.0185,,,,,,,,,,,,,,,,,,
070723_169_4,0.0222,,,,,,,,,,,,,,,,,,
070723_169_5,0.0133,,,,,,,,,,,,,,,,,,
070723_170_1,0.0172,,,,,,,,,,,,,,,,,,
070723_170_2,0.0076,,,,,,,,,,,,,,,,,,
070723_170_3,0.0101,,,,,,,,,,,,,,,,,,
070723_170_4,0.0101,,,,,,,,,,,,,,,,,,
070723_170_5,0.0102,,,,,,,,,,,,,,,,,,
070723_174_1,0.0255,,,,,,,,,,,,,,,,,,
070723_174_2,0.0326,,0.7,0.5,0.5,0.8,0.4,,,,,,,,,,,,
070723_174_3,0.0224,,,,,,,,,,,,,,,,,,
070723_174_4,0.0382,,,,,,,,,,,,,,,,,,
070723_174_5,0.0236,,,,,,,,,,,,,,,,,,
070723_172_1,0.0159,,,,,,,,,,,,,,,,,,
070723_172_2,0.0086,,,,,,,,,,,,,,,,,,
070723_172_3,0.0153,,,,,,,,,,,,,,,,,,
070723_172_4,0.0208,,,,,,,,,,,,,,,,,,
070723_172_5,0.012,,,,,,,,,,,,,,,,,,
070723_175_1,0.0175,,,,,,,,,,,,,,,,,,
070723_175_2,0.0098,,,,,,,,,,,,,,,,,,
070723_175_3,0.0228,,,,,,,,,,,,,,,,,,
070723_175_4,0.0079,,,,,,,,,,,,,,,,,,
070723_175_5,0.0148,,,,,,,,,,,,,,,,,,
070723_177_1,0.0292,,,,,,,,,,,,,,,,,,
070723_177_2,0.0098,,,,,,,,,,,,,,,,,,
070723_177_3,0.0141,,,,,,,,,,,,,,,,,,
070723_177_4,0.0102,,,,,,,,,,,,,,,,,,
070723_177_5,0.0336,,,,,,,,,,,,,,,,,,
070723_179_1,0.0122,,,,,,,,,,,,,,,,,,
070723_179_2,0.0074,,,,,,,,,,,,,,,,,,
070723_179_3,0.0205,,,,,,,,,,,,,,,,,,
070723_179_4,0.0176,,,,,,,,,,,,,,,,,,
070723_179_5,0.0222,,,,,,,,,,,,,,,,,,
070723_176_1,0.02666,,,,,,,,,,,,,,,,,,
070723_176_2,0.014,,,,,,,,,,,,,,,,,,
070723_176_3,0.0136,,,,,,,,,,,,,,,,,,
070723_176_4,0.0185,,,,,,,,,,,,,,,,,,
070723_176_5,0.0132,,,,,,,,,,,,,,,,,,
070723_180_1,0.0315,,,,,,,,,,,,,,,,,,
070723_180_2,0.0336,,,,,,,,,,,,,,,,,,
070723_180_3,0.0062,,,,,,,,,,,,,,,,,,
070723_180_4,0.0222,,,,,,,,,,,,,,,,,,
070723_180_5,0.0106,,,,,,,,,,,,,,,,,,
070723_178_1,0.0238,,,,,,,,,,,,,,,,,,
070723_178_2,0.0273,,,,,,,,,,,,,,,,,,
070723_178_3,0.0357,,,,,,,,,,,,,,,,,,
070723_178_4,0.0214,,,,,,,,,,,,,,,,,,
070723_178_5,0.0076,,,,,,,,,,,,,,,,,,
070723_181_1,0.0154,,,,,,,,,,,,,,,,,,
070723_181_2,0.017,,,,,,,,,,,,,,,,,,
070723_181_3,0.0155,,,,,,,,,,,,,,,,,,
070723_181_4,0.0142,,,,,,,,,,,,,,,,,,
