,Weight (g),,length (cm),,,,,,,,,,,,,,,,
01_1,0.0597,,,,,,,,,,,,,,,,,,
01_2,0.0419,,,,,,,,,,,,,,,,,,
01_3,0.07,,,,,,,,,,,,,,,,,,
03_2,0.1085,,,,,,,,,,,,,,,,,,
03_4,0.1425,,,,,,,,,,,,,,,,,,
04_2,0.1423,,,,,,,,,,,,,,,,,,
04_4,0.1153,,,,,,,,,,,,,,,,,,
05_2,0.1858,,,,,,,,,,,,,,,,,,
05_4,0.14895,,,,,,,,,,,,,,,,,,
07_1,0.1988,,,,,,,,,,,,,,,,,,
07_4,0.0662,,,,,,,,,,,,,,,,,,
09_3,0.029,,,,,,,,,,,,,,,,,,
09_4,0.1065,,,,,,,,,,,,,,,,,,
09_5,0.0608,,,,,,,,,,,,,,,,,,
100_1,0.1125,,,,,,,,,,,,,,,,,,
100_4,0.1652,,,,,,,,,,,,,,,,,,
101_2,0.125,,,,,,,,,,,,,,,,,,
101_4,0.0663,,,,,,,,,,,,,,,,,,
102_1,0.1813,,,,,,,,,,,,,,,,,,
102_2,0.2051,,,,,,,,,,,,,,,,,,
102_4,0.2202,,,,,,,,,,,,,,,,,,
103_1,0.0441,,0.7,0.5,0.5,0.8,0.4,,,,,,,,,,,,
103_2,0.3,,,,,,,,,,,,,,,,,,
103_4,0.0539,,,,,,,,,,,,,,,,,,
103_5,0.0497,,,,,,,,,,,,,,,,,,
104_2,0.0611,,,,,,,,,,,,,,,,,,
104_4,0.42271,,,,,,,,,,,,,,,,,,
107_1,0.0875,,,,,,,,,,,,,,,,,,
107_3,0.0645,,,,,,,,,,,,,,,,,,
109_1,0.1152,,,,,,,,,,,,,,,,,,
109_2,0.1515,,,,,,,,,,,,,,,,,,
109_4,0.1876,,,,,,,,,,,,,,,,,,
110_5,0.1243,,,,,,,,,,,,,,,,,,
113_1,0.1198,,,,,,,,,,,,,,,,,,
113_3,0.106,,,,,,,,,,,,,,,,,,
113_4,0.117,,,,,,,,,,,,,,,,,,
114_5,0.1097,,,,,,,,,,,,,,,,,,
115_2,0.792,,,,,,,,,,,,,,,,,,
116_1,0.1312,,,,,,,,,,,,,,,,,,
117_5,0.1964,,,,,,,,,,,,,,,,,,
12_2,0.108,,,,,,,,,,,,,,,,,,
120_5,0.1192,,,,,,,,,,,,,,,,,,
122_3,0.1078,,,,,,,,,,,,,,,,,,
124_2,0.0806,,,,,,,,,,,,,,,,,,
124_4,0.128,,,,,,,,,,,,,,,,,,
13_4,0.1083,,,,,,,,,,,,,,,,,,
13_5,0.0445,,,,,,,,,,,,,,,,,,
133_1,0.0893,,,,,,,,,,,,,,,,,,
133_2,0.0705,,,,,,,,,,,,,,,,,,
133_3,0.0429,,,,,,,,,,,,,,,,,,
133_4,0.0688,,,,,,,,,,,,,,,,,,
133_5,0.0478,,,,,,,,,,,,,,,,,,
134_1,0.0916,,,,,,,,,,,,,,,,,,
134_2,0.1401,,,,,,,,,,,,,,,,,,
134_3,0.1438,,,,,,,,,,,,,,,,,,
134_4,0.0465,,,,,,,,,,,,,,,,,,
135_1,0.0853,,,,,,,,,,,,,,,,,,
135_2,0.0616,,,,,,,,,,,,,,,,,,
135_3,0.133,,,,,,,,,,,,,,,,,,
135_4,0.0297,,,,,,,,,,,,,,,,,,
136_1,0.1048,,,,,,,,,,,,,,,,,,
136_2,0.1146,,,,,,,,,,,,,,,,,,
136_3,0.0469,,,,,,,,,,,,,,,,,,
136_4,0.0902,,,,,,,,,,,,,,,,,,
181_5,0,,,,,,,,,,,,,,,,,,
136_5,0.0194,,,,,,,,,,,,,,,,,,
137_1,0.0911,,,,,,,,,,,,,,,,,,
137_2,0.0843,,,,,,,,,,,,,,,,,,
137_3,0.0976,,,,,,,,,,,,,,,,,,
183_5,0.0215,,,,,,,,,,,,,,,,,,
137_4,0.0245,,,,,,,,,,,,,,,,,,
138_1,0.0991,,,,,,,,,,,,,,,,,,
138_2,0.0659,,,,,,,,,,,,,,,,,,
138_3,0.1264,,,,,,,,,,,,,,,,,,
138_4,0.0756,,,,,,,,,,,,,,,,,,
139_1,0.1676,,,,,,,,,,,,,,,,,,
139_2,0.0763,,,,,,,,,,,,,,,,,,
139_3,0.0394,,,,,,,,,,,,,,,,,,
139_4,0.1134,,,,,,,,,,,,,,,,,,
139_5,0.1094,,,,,,,,,,,,,,,,,,
186_1,0,,,,,,,,,,,,,,,,,,
186_2,0,,,,,,,,,,,,,,,,,,
14_1,0.0812,,,,,,,,,,,,,,,,,,
14_2,0.0814,,,,,,,,,,,,,,,,,,
186_5,0,,,,,,,,,,,,,,,,,,
184_1,0.0105,,,,,,,,,,,,,,,,,,
14_3,0.0654,,,,,,,,,,,,,,,,,,
14_4,0.0506,,,,,,,,,,,,,,,,,,
14_5,0.1085,,,,,,,,,,,,,,,,,,
